protocol,networkID,group,radio,priority,override,hits,timestamp,radio alias
P25,BEE00.2D1,-2,2038487,50,Normal,41,17/05/2024 20:40,VRA Rescue NSW - 92 ICT Portable 1
P25,BEE00.2D1,-2,2027865,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - 92 ICT Portable 2
P25,BEE00.2D1,-2,2035383,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 1
P25,BEE00.2D1,-2,2038301,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 2
P25,BEE00.2D1,-2,2039749,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 3
P25,BEE00.2D1,-2,2039750,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 4
P25,BEE00.2D1,-2,2039751,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 5
P25,BEE00.2D1,-2,2039752,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 6
P25,BEE00.2D1,-2,2039753,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 7
P25,BEE00.2D1,-2,2039754,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury Portable 8
P25,BEE00.2D1,-2,2035384,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 1
P25,BEE00.2D1,-2,2038293,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 2
P25,BEE00.2D1,-2,2039755,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 3
P25,BEE00.2D1,-2,2039829,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 4
P25,BEE00.2D1,-2,2039830,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 5
P25,BEE00.2D1,-2,2039781,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow Portable 6
P25,BEE00.2D1,-2,2035396,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 1
P25,BEE00.2D1,-2,2037789,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 2
P25,BEE00.2D1,-2,2039831,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 3
P25,BEE00.2D1,-2,2039782,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 4
P25,BEE00.2D1,-2,2039832,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 5
P25,BEE00.2D1,-2,2039833,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 6
P25,BEE00.2D1,-2,2039834,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 7
P25,BEE00.2D1,-2,2038700,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega Portable 8
P25,BEE00.2D1,-2,2035385,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 1
P25,BEE00.2D1,-2,2038294,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 2
P25,BEE00.2D1,-2,2039756,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 3
P25,BEE00.2D1,-2,2039835,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 4
P25,BEE00.2D1,-2,2039783,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 5
P25,BEE00.2D1,-2,2039836,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong Portable 6
P25,BEE00.2D1,-2,2035397,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 1
P25,BEE00.2D1,-2,2038688,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 2
P25,BEE00.2D1,-2,2039772,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 3
P25,BEE00.2D1,-2,2038681,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 4
P25,BEE00.2D1,-2,2038663,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 5
P25,BEE00.2D1,-2,2038689,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 6
P25,BEE00.2D1,-2,2038664,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 7
P25,BEE00.2D1,-2,2038682,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Brunswick Valley Portable 8
P25,BEE00.2D1,-2,2035387,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 1
P25,BEE00.2D1,-2,2039757,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 2
P25,BEE00.2D1,-2,2039816,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 3
P25,BEE00.2D1,-2,2039817,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 4
P25,BEE00.2D1,-2,2039758,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 5
P25,BEE00.2D1,-2,2039818,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Burren Junction Portabe 6
P25,BEE00.2D1,-2,2035380,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 1
P25,BEE00.2D1,-2,2038665,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 2
P25,BEE00.2D1,-2,2038666,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 3
P25,BEE00.2D1,-2,2038683,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 4
P25,BEE00.2D1,-2,2038690,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 5
P25,BEE00.2D1,-2,2039854,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 6
P25,BEE00.2D1,-2,2038691,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 7
P25,BEE00.2D1,-2,2039855,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Casino Portable 8
P25,BEE00.2D1,-2,2035368,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 1
P25,BEE00.2D1,-2,2039845,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 2
P25,BEE00.2D1,-2,2039797,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 3
P25,BEE00.2D1,-2,2038629,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 4
P25,BEE00.2D1,-2,2038694,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 5
P25,BEE00.2D1,-2,2039798,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 6
P25,BEE00.2D1,-2,2038630,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 7
P25,BEE00.2D1,-2,2038695,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Central Coast Portable 8
P25,BEE00.2D1,-2,2035362,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 1
P25,BEE00.2D1,-2,2039805,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 2
P25,BEE00.2D1,-2,2038631,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 3
P25,BEE00.2D1,-2,2038632,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 4
P25,BEE00.2D1,-2,2039799,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 5
P25,BEE00.2D1,-2,2039800,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 6
P25,BEE00.2D1,-2,2038696,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 7
P25,BEE00.2D1,-2,2039806,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 8
P25,BEE00.2D1,-2,2037791,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 9
P25,BEE00.2D1,-2,2038496,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cessnock Portable 10
P25,BEE00.2D1,-2,2035365,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coleambally Portable 1
P25,BEE00.2D1,-2,2038296,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coleambally Portable 2
P25,BEE00.2D1,-2,2038701,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coleambally Portable 3
P25,BEE00.2D1,-2,2038702,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coleambally Portable 4
P25,BEE00.2D1,-2,2038703,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coleambally Portable 5
P25,BEE00.2D1,-2,2038704,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coleambally Portable 6
P25,BEE00.2D1,-2,2035356,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coolah Portable 1
P25,BEE00.2D1,-2,2039774,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coolah Portable 2
P25,BEE00.2D1,-2,2039819,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coolah Portable 3
P25,BEE00.2D1,-2,2039821,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coolah Portable 4
P25,BEE00.2D1,-2,2039820,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coolah Portable 5
P25,BEE00.2D1,-2,2039822,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coolah Portable 6
P25,BEE00.2D1,-2,2035374,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coonabarabran Portabel 1
P25,BEE00.2D1,-2,2039759,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coonabarabran Portabel 2
P25,BEE00.2D1,-2,2039823,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coonabarabran Portabel 3
P25,BEE00.2D1,-2,2039760,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coonabarabran Portabel 4
P25,BEE00.2D1,-2,2039761,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coonabarabran Portabel 5
P25,BEE00.2D1,-2,2038668,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coonabarabran Portabel 6
P25,BEE00.2D1,-2,2035377,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Corowa Portable 1
P25,BEE00.2D1,-2,2038302,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Corowa Portable 2
P25,BEE00.2D1,-2,2039789,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Corowa Portable 3
P25,BEE00.2D1,-2,2039790,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Corowa Portable 4
P25,BEE00.2D1,-2,2039791,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Corowa Portable 5
P25,BEE00.2D1,-2,2039792,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Corowa Portable 6
P25,BEE00.2D1,-2,2035367,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Deniliquin Portable 1
P25,BEE00.2D1,-2,2038312,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Deniliquin Portable 2
P25,BEE00.2D1,-2,2039793,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Deniliquin Portable 3
P25,BEE00.2D1,-2,2038705,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Deniliquin Portable 4
P25,BEE00.2D1,-2,2039794,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Deniliquin Portable 5
P25,BEE00.2D1,-2,2039795,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Deniliquin Portable 6
P25,BEE00.2D1,-2,2039865,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Search Dogs Portable 1
P25,BEE00.2D1,-2,2039866,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Search Dogs Portable 2
P25,BEE00.2D1,-2,2039867,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Search Dogs Portable 3
P25,BEE00.2D1,-2,2039868,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Search Dogs Portable 4
P25,BEE00.2D1,-2,2039869,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Search Dogs Portable 5
P25,BEE00.2D1,-2,2039870,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Search Dogs Portable 6
P25,BEE00.2D1,-2,2035363,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Dubbo Portable 1
P25,BEE00.2D1,-2,2038669,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Dubbo Portable 2
P25,BEE00.2D1,-2,2039824,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Dubbo Portable 3
P25,BEE00.2D1,-2,2038670,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Dubbo Portable 4
P25,BEE00.2D1,-2,2039775,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Dubbo Portable 5
P25,BEE00.2D1,-2,2039776,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Dubbo Portable 6
P25,BEE00.2D1,-2,2035379,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes Portable 1
P25,BEE00.2D1,-2,2039856,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes Portable 2
P25,BEE00.2D1,-2,2039857,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes Portable 3
P25,BEE00.2D1,-2,2039858,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes Portable 4
P25,BEE00.2D1,-2,2039859,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes Portable 5
P25,BEE00.2D1,-2,2039860,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes Portable 6
P25,BEE00.2D1,-2,2038644,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes Portable 7
P25,BEE00.2D1,-2,2038645,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Glen Innes Portable 8
P25,BEE00.2D1,-2,2035364,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Gulgong Portable 1
P25,BEE00.2D1,-2,2039777,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Gulgong Portable 2
P25,BEE00.2D1,-2,2038671,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Gulgong Portable 3
P25,BEE00.2D1,-2,2039778,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Gulgong Portable 4
P25,BEE00.2D1,-2,2038672,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Gulgong Portable 5
P25,BEE00.2D1,-2,2039779,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Gulgong Portable 6
P25,BEE00.2D1,-2,2035373,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra Portable 1
P25,BEE00.2D1,-2,2037790,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra Portable 2
P25,BEE00.2D1,-2,2038706,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra Portable 3
P25,BEE00.2D1,-2,2039796,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra Portable 4
P25,BEE00.2D1,-2,2038707,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra Portable 5
P25,BEE00.2D1,-2,2039784,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Guyra Portable 6
P25,BEE00.2D1,-2,2035361,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Inverell Portable 1
P25,BEE00.2D1,-2,2035382,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Inverell Portable 2
P25,BEE00.2D1,-2,2039785,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Inverell Portable 3
P25,BEE00.2D1,-2,2039786,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Inverell Portable 4
